CardID,Name,Set,Rarity,Price,Condition,Stock,Photo,Featured
S12A179,Keldeo,S12A VSTAR Universe,AR,10,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/KeldeoARS12A179.jpg
S12A195,Latias,S12A VSTAR Universe,AR,13,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/LatiasARS12A195.jpg
S12A189,Solrock,S12A VSTAR Universe,AR,4,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/SolrockARS12A189.jpg
S12A181,Toxtricity,S12A VSTAR Universe,AR,3,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ToxtricityARS12A181.jpg
S12A187,Comfey,S12A VSTAR Universe,AR,3,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ComfeyARS12A187.jpg
S12A192,Thievul,S12A VSTAR Universe,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ThievulARS12A192.jpg
S12A192,Thievul,S12A VSTAR Universe,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ThievulARS12A192.jpg
S12A176,Oricorio,S12A VSTAR Universe,AR,3,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/OricorioARS12A176.jpg
S12A176,Oricorio,S12A VSTAR Universe,AR,3,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/OricorioARS12A176.jpg
S12A176,Oricorio,S12A VSTAR Universe,AR,3,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/OricorioARS12A176.jpg
S12A176,Oricorio,S12A VSTAR Universe,AR,3,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/OricorioARS12A176.jpg
S12A189,Solrock,S12A VSTAR Universe,AR,4,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/SolrockARS12A189.jpg
S12A190,Galarian Moltres,S12A VSTAR Universe,AR,16,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/GalarianMoltresARS12A190.jpg
S12A190,Galarian Moltres,S12A VSTAR Universe,AR,16,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/GalarianMoltresARS12A190.jpg
S12A190,Galarian Moltres,S12A VSTAR Universe,AR,16,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/GalarianMoltresARS12A190.jpg
S12A190,Galarian Moltres,S12A VSTAR Universe,AR,16,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/GalarianMoltresARS12A190.jpg
S12A173,Hisuian Voltorb,S12A VSTAR Universe,AR,3,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/HisuianVoltorbARS12A173.jpg
S12A190,Galarian Moltres,S12A VSTAR Universe,AR,16,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/GalarianMoltresARS12A190.jpg
SV1A083,Mismagius,SV1A Triple Beat,AR,14,Lightly Played,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/MismagiusARSV1A083.jpg
SV1S088,Klawf,SV1S Scarlet ex,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/KlawfARSV1S088.jpg
SV1V080,Toedscool,SV1V Violet ex,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ToedscoolARSV1V080.jpg
SV1V080,Toedscool,SV1V Violet ex,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ToedscoolARSV1V080.jpg
SV1V080,Toedscool,SV1V Violet ex,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ToedscoolARSV1V080.jpg
SV1V080,Toedscool,SV1V Violet ex,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ToedscoolARSV1V080.jpg
SV1V080,Toedscool,SV1V Violet ex,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ToedscoolARSV1V080.jpg
SV1V080,Toedscool,SV1V Violet ex,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ToedscoolARSV1V080.jpg
SV1V080,Toedscool,SV1V Violet ex,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/ToedscoolARSV1V080.jpg
SV1V086,Drowzee,SV1V Violet ex,AR,21,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/DrowzeeARSV1V086.jpg
SV1A074,Tropius,SV1A Triple Beat,AR,4,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/TropiusARSV1A074.jpg
SV1V090,Skwovet,SV1V Violet ex,AR,3.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/SkwovetARSV1V090.jpg
SV1V090,Skwovet,SV1V Violet ex,AR,3.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/SkwovetARSV1V090.jpg
SV1V090,Skwovet,SV1V Violet ex,AR,3.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/SkwovetARSV1V090.jpg
SV1V090,Skwovet,SV1V Violet ex,AR,3.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/SkwovetARSV1V090.jpg
SV1A077,Pyroar,SV1A Triple Beat,AR,4,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/PyroarARSV1A077.jpg
SV1A077,Pyroar,SV1A Triple Beat,AR,4,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/PyroarARSV1A077.jpg
SV1A077,Pyroar,SV1A Triple Beat,AR,4,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/PyroarARSV1A077.jpg
SV1A085,Paldean Wooper,SV1A Triple Beat,AR,5.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/PaldeanWooperARSV1A085.jpg
SV1V089,Bombirdier,SV1V Violet ex,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/BombirdierARSV1V089.jpg
SV1V089,Bombirdier,SV1V Violet ex,AR,2.5,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/BombirdierARSV1V089.jpg
SV1S079,Dolliv,SV1S Scarlet ex,AR,4,Near Mint,1,https://raw.githubusercontent.com/fallacycardshop/Fallacy-Mini-Store/main/images/DollivARSV1S079.jpg
